height,gender
1639,M
1755,M
1667,M
1743,M
1654,M
1721,M
1554,M
1688,M
1711,M
1670,M
1715,M
1759,M
1644,M
1717,M
1652,M
1702,M
1649,M
1606,M
1721,M
1679,M
1598,M
1688,M
1618,M
1738,M
1645,M
1766,M
1688,M
1617,M
1627,M
1714,M
1632,M
1656,M
1670,M
1648,M
1632,M
1709,M
1627,M
1572,M
1730,M
1800,M
1585,M
1647,M
1671,M
1816,M
1688,M
1683,M
1697,M
1635,M
1657,M
1571,M
1732,M
1711,M
1633,M
1650,M
1687,M
1664,M
1704,M
1708,M
1680,M
1703,M
1642,M
1723,M
1705,M
1702,M
1711,M
1656,M
1673,M
1597,M
1686,M
1608,M
1596,M
1698,M
1715,M
1681,M
1648,M
1629,M
1659,M
1720,M
1655,M
1700,M
1756,M
1641,M
1696,M
1661,M
1766,M
1775,M
1675,M
1613,M
1686,M
1758,M
1711,M
1639,M
1624,M
1765,M
1632,M
1784,M
1709,M
1629,M
1752,M
1732,M
1728,M
1594,M
1713,M
1847,M
1735,M
1622,M
1718,M
1729,M
1742,M
1681,M
1673,M
1724,M
1710,M
1730,M
1669,M
1636,M
1668,M
1633,M
1707,M
1710,M
1778,M
1682,M
1742,M
1598,M
1687,M
1665,M
1614,M
1697,M
1738,M
1600,M
1789,M
1673,M
1770,M
1692,M
1667,M
1632,M
1690,M
1808,M
1701,M
1677,M
1678,M
1696,M
1740,M
1746,M
1664,M
1530,M
1677,M
1605,M
1615,M
1644,M
1681,M
1696,M
1704,M
1735,M
1684,M
1740,M
1769,M
1738,M
1680,M
1701,M
1691,M
1736,M
1629,M
1720,M
1716,M
1713,M
1628,M
1682,M
1619,M
1609,M
1743,M
1714,M
1671,M
1766,M
1783,M
1697,M
1699,M
1638,M
1588,M
1737,M
1662,M
1690,M
1681,M
1685,M
1728,M
1636,M
1791,M
1630,M
1683,M
1722,M
1676,M
1531,M
1612,M
1781,M
1741,M
1680,M
1730,M
1581,M
1679,M
1658,M
1577,M
1765,M
1765,M
1688,M
1704,M
1733,M
1820,M
1743,M
1677,M
1781,M
1658,M
1678,M
1714,M
1751,M
1731,M
1626,M
1679,M
1709,M
1614,M
1674,M
1738,M
1731,M
1722,M
1665,M
1728,M
1712,M
1606,M
1625,M
1715,M
1631,M
1732,M
1740,M
1678,M
1646,M
1816,M
1692,M
1586,M
1670,M
1623,M
1709,M
1655,M
1775,M
1798,M
1688,M
1740,M
1687,M
1815,M
1665,M
1639,M
1717,M
1693,M
1679,M
1517,M
1725,M
1575,M
1750,M
1774,M
1707,M
1768,M
1650,M
1723,M
1725,M
1703,M
1717,M
1647,M
1654,M
1653,M
1699,M
1695,M
1712,M
1730,M
1717,M
1823,M
1644,M
1616,M
1689,M
1735,M
1674,M
1706,M
1763,M
1754,M
1749,M
1744,M
1699,M
1722,M
1683,M
1772,M
1661,M
1664,M
1726,M
1672,M
1628,M
1609,M
1734,M
1733,M
1663,M
1678,M
1699,M
1717,M
1720,M
1738,M
1705,M
1749,M
1703,M
1582,M
1787,M
1747,M
1645,M
1717,M
1698,M
1647,M
1547,M
1583,M
1718,M
1723,M
1728,M
1683,M
1716,M
1662,M
1664,M
1618,M
1696,M
1582,M
1669,M
1655,M
1660,M
1756,M
1728,M
1734,M
1655,M
1642,M
1703,M
1666,M
1649,M
1769,M
1709,M
1716,M
1694,M
1736,M
1795,M
1791,M
1727,M
1715,M
1679,M
1697,M
1732,M
1688,M
1697,M
1682,M
1716,M
1649,M
1730,M
1728,M
1672,M
1768,M
1669,M
1700,M
1783,M
1794,M
1788,M
1721,M
1655,M
1655,M
1601,M
1784,M
1587,M
1663,M
1710,M
1612,M
1675,M
1608,M
1666,M
1588,M
1719,M
1788,M
1608,M
1653,M
1741,M
1636,M
1715,M
1711,M
1743,M
1671,M
1606,M
1709,M
1840,M
1788,M
1709,M
1628,M
1692,M
1588,M
1724,M
1806,M
1672,M
1747,M
1671,M
1773,M
1690,M
1683,M
1734,M
1616,M
1692,M
1696,M
1672,M
1734,M
1647,M
1637,M
1721,M
1786,M
1686,M
1688,M
1589,M
1791,M
1695,M
1668,M
1632,M
1691,M
1636,M
1685,M
1742,M
1751,M
1720,M
1677,M
1721,M
1789,M
1763,M
1649,M
1771,M
1680,M
1750,M
1648,M
1677,M
1620,M
1753,M
1637,M
1893,M
1625,M
1876,M
1784,M
1787,M
1732,M
1728,M
1799,M
1640,M
1623,M
1723,M
1815,M
1829,M
1770,M
1750,M
1774,M
1670,M
1699,M
1711,M
1640,M
1608,M
1705,M
1700,M
1748,M
1704,M
1747,M
1684,M
1619,M
1655,M
1777,M
1715,M
1587,M
1656,M
1655,M
1653,M
1605,M
1683,M
1659,M
1672,M
1678,M
1721,M
1714,M
1665,M
1670,M
1764,M
1734,M
1654,M
1632,M
1725,M
1785,M
1697,M
1663,M
1703,M
1681,M
1672,M
1690,M
1746,M
1685,M
1729,M
1712,M
1741,M
1671,M
1581,M
1702,M
1690,M
1694,M
1714,M
1668,M
1763,M
1765,M
1678,M
1651,M
1724,M
1675,M
1664,M
1816,M
1709,M
1683,M
1657,M
1652,M
1588,M
1609,M
1685,M
1713,M
1860,M
1715,M
1730,M
1714,M
1722,M
1675,M
1626,M
1688,M
1670,M
1769,M
1707,M
1755,M
1704,M
1574,M
1724,M
1667,M
1750,M
1671,M
1631,M
1770,M
1739,M
1767,M
1721,M
1730,M
1750,M
1670,M
1673,M
1647,M
1696,M
1638,M
1710,M
1744,M
1769,M
1757,M
1696,M
1668,M
1648,M
1662,M
1644,M
1698,M
1635,M
1744,M
1725,M
1693,M
1679,M
1753,M
1804,M
1710,M
1663,M
1793,M
1783,M
1654,M
1743,M
1680,M
1721,M
1619,M
1653,M
1738,M
1689,M
1709,M
1629,M
1603,M
1620,M
1562,M
1768,M
1709,M
1709,M
1681,M
1621,M
1610,M
1767,M
1655,M
1672,M
1726,M
1708,M
1608,M
1736,M
1698,M
1693,M
1592,M
1615,M
1620,M
1686,M
1787,M
1630,M
1742,M
1492,M
1724,M
1807,M
1757,M
1672,M
1605,M
1692,M
1717,M
1679,M
1722,M
1585,M
1693,M
1766,M
1655,M
1830,M
1701,M
1764,M
1650,M
1604,M
1586,M
1618,M
1664,M
1599,M
1744,M
1699,M
1698,M
1654,M
1667,M
1687,M
1660,M
1747,M
1727,M
1669,M
1664,M
1611,M
1655,M
1698,M
1656,M
1576,M
1739,M
1703,M
1638,M
1671,M
1672,M
1786,M
1718,M
1651,M
1697,M
1765,M
1620,M
1688,M
1679,M
1662,M
1638,M
1829,M
1761,M
1731,M
1661,M
1748,M
1673,M
1652,M
1698,M
1740,M
1611,M
1717,M
1768,M
1688,M
1629,M
1636,M
1703,M
1654,M
1719,M
1686,M
1765,M
1699,M
1685,M
1831,M
1689,M
1700,M
1764,M
1710,M
1633,M
1614,M
1690,M
1663,M
1639,M
1697,M
1715,M
1730,M
1619,M
1734,M
1660,M
1586,M
1680,M
1712,M
1869,M
1606,M
1657,M
1805,M
1701,M
1694,M
1691,M
1724,M
1644,M
1712,M
1687,M
1716,M
1716,M
1691,M
1693,M
1685,M
1645,M
1676,M
1602,M
1648,M
1669,M
1685,M
1718,M
1672,M
1703,M
1706,M
1697,M
1641,M
1694,M
1639,M
1755,M
1677,M
1710,M
1729,M
1749,M
1672,M
1649,M
1698,M
1746,M
1677,M
1657,M
1672,M
1606,M
1670,M
1666,M
1643,M
1660,M
1653,M
1779,M
1636,M
1640,M
1674,M
1671,M
1655,M
1654,M
1685,M
1644,M
1618,M
1703,M
1754,M
1786,M
1637,M
1625,M
1711,M
1741,M
1708,M
1700,M
1756,M
1660,M
1613,M
1690,M
1761,M
1774,M
1696,M
1707,M
1633,M
1722,M
1740,M
1692,M
1708,M
1740,M
1712,M
1757,M
1781,M
1848,M
1741,M
1611,M
1681,M
1758,M
1597,M
1766,M
1632,M
1710,M
1667,M
1709,M
1637,M
1610,M
1654,M
1513,M
1852,M
1688,M
1742,M
1585,M
1664,M
1785,M
1769,M
1706,M
1670,M
1707,M
1562,M
1649,M
1598,M
1687,M
1784,M
1731,M
1714,M
1691,M
1746,M
1720,M
1655,M
1681,M
1651,M
1604,M
1707,M
1607,M
1682,M
1606,M
1671,M
1701,M
1671,M
1679,M
1654,M
1658,M
1627,M
1743,M
1705,M
1671,M
1717,M
1760,M
1694,M
1743,M
1620,M
1740,M
1743,M
1693,M
1660,M
1728,M
1770,M
1777,M
1770,M
1712,M
1574,M
1629,M
1619,M
1726,M
1673,M
1669,M
1670,M
1770,M
1728,M
1727,M
1670,M
1524,M
1681,M
1744,M
1809,M
1716,M
1772,M
1672,M
1759,M
1712,M
1728,M
1783,M
1599,M
1694,M
1581,M
1704,M
1661,M
1780,M
1791,M
1693,M
1670,M
1678,M
1797,M
1585,M
1741,M
1657,M
1718,M
1768,M
1632,M
1564,M
1745,M
1674,M
1635,M
1780,M
1758,M
1718,M
1735,M
1563,M
1750,M
1718,M
1627,M
1689,M
1684,M
1723,M
1828,M
1703,M
1618,M
1650,M
1705,M
1746,M
1749,M
1632,M
1760,M
1642,M
1779,M
1679,M
1726,M
1671,M
1668,M
1669,M
1735,M
1660,M
1838,M
1698,M
1743,M
1650,M
1700,M
1754,M
1779,M
1651,M
1597,M
1729,M
1619,M
1722,M
1742,M
1703,M
1659,M
1649,M
1683,M
1693,M
1591,M
1678,M
1696,M
1766,M
1602,M
1686,M
1602,M
1694,M
1696,M
1714,M
1573,M
1644,M
1689,M
1574,M
1710,M
1649,M
1628,M
1699,M
1768,M
1674,M
1684,M
1605,M
1694,M
1723,M
1709,M
1675,M
1575,M
1791,M
1654,M
1721,M
1728,M
1756,M
1766,M
1621,M
1694,M
1627,M
1692,M
1613,M
1745,M
1738,M
1683,M
1660,M
1651,M
1688,M
1844,M
1632,M
1765,M
1685,M
1655,M
1771,M
1745,M
1718,M
1685,M
1760,M
1767,M
1746,M
1704,M
1755,M
1659,M
1822,M
1625,M
1723,M
1696,M
1628,M
1771,M
1558,M
1640,M
1753,M
1759,M
1786,M
1683,M
1583,M
1707,M
1688,M
1537,M
1706,M
1756,M
1758,M
1676,M
1688,M
1827,M
1642,M
1690,M
1597,M
1753,M
1738,M
1692,M
1671,M
1735,M
1651,M
1653,M
1685,M
1733,M
1631,M
1734,M
1727,M
1718,M
1723,M
1614,M
1711,M
1640,M
1704,M
1697,M
1626,M
1686,M
1609,M
1660,M
1724,M
1714,M
1711,M
1549,M
1654,M
1822,M
1705,M
1657,M
1780,M
1640,M
1650,M
1674,M
1635,M
1737,M
1636,M
1607,M
1708,M
1732,M
1730,M
1686,M
1838,M
1728,M
1670,M
1752,M
1720,M
1726,M
1722,M
1625,M
1771,M
1779,M
1628,M
1736,M
1744,M
1786,M
1624,M
1678,M
1654,M
1630,M
1788,M
1679,M
1718,M
1738,M
1625,M
1634,M
1618,M
1665,M
1679,M
1694,M
1663,M
1699,M
1744,M
1732,M
1688,M
1674,M
1602,M
1710,M
1767,M
1735,M
1676,M
1636,M
1673,M
1606,M
1710,M
1613,M
1641,M
1750,M
1684,M
1729,M
1706,M
1664,M
1727,M
1729,M
1746,M
1587,M
1636,M
1610,M
1674,M
1592,M
1601,M
1787,M
1732,M
1766,M
1697,M
1663,M
1780,M
1783,M
1756,M
1631,M
1640,M
1687,M
1656,M
1719,M
1582,M
1852,M
1628,M
1769,M
1792,M
1794,M
1768,M
1643,M
1668,M
1666,M
1684,M
1744,M
1836,M
1716,M
1680,M
1695,M
1712,M
1712,M
1535,M
1695,M
1753,M
1655,M
1689,M
1743,M
1573,M
1739,M
1659,M
1644,M
1615,M
1737,M
1765,M
1673,M
1750,M
1623,M
1682,M
1707,M
1789,M
1757,M
1584,M
1730,M
1779,M
1762,M
1692,M
1689,M
1656,M
1721,M
1703,M
1705,M
1686,M
1682,M
1734,M
1678,M
1815,M
1682,M
1714,M
1654,M
1565,M
1797,M
1716,M
1757,M
1678,M
1629,M
1806,M
1737,M
1797,M
1677,M
1695,M
1763,M
1697,M
1672,M
1656,M
1733,M
1670,M
1666,M
1645,M
1685,M
1645,M
1698,M
1697,M
1561,M
1629,M
1702,M
1722,M
1780,M
1775,M
1646,M
1649,M
1607,M
1610,M
1718,M
1680,M
1681,M
1627,M
1651,M
1712,M
1669,M
1648,M
1631,M
1686,M
1633,M
1710,M
1699,M
1648,M
1764,M
1730,M
1668,M
1788,M
1692,M
1701,M
1705,M
1699,M
1735,M
1675,M
1645,M
1727,M
1828,M
1694,M
1672,M
1537,M
1560,M
1642,M
1737,M
1766,M
1655,M
1701,M
1742,M
1617,M
1693,M
1687,M
1683,M
1668,M
1628,M
1678,M
1652,M
1641,M
1637,M
1729,M
1729,M
1746,M
1772,M
1701,M
1688,M
1716,M
1709,M
1723,M
1652,M
1684,M
1750,M
1766,M
1695,M
1733,M
1678,M
1846,M
1686,M
1615,M
1617,M
1672,M
1638,M
1802,M
1718,M
1636,M
1639,M
1678,M
1684,M
1721,M
1654,M
1717,M
1653,M
1666,M
1652,M
1604,M
1693,M
1654,M
1717,M
1691,M
1715,M
1736,M
1770,M
1613,M
1585,M
1690,M
1629,M
1725,M
1613,M
1671,M
1709,M
1645,M
1667,M
1656,M
1720,M
1663,M
1577,M
1741,M
1715,M
1707,M
1705,M
1653,M
1693,M
1653,M
1706,M
1705,M
1765,M
1622,M
1607,M
1689,M
1671,M
1691,M
1709,M
1638,M
1649,M
1685,M
1792,M
1715,M
1662,M
1645,M
1662,M
1676,M
1748,M
1598,M
1858,M
1701,M
1678,M
1706,M
1745,M
1748,M
1753,M
1745,M
1618,M
1620,M
1582,M
1598,M
1694,M
1696,M
1602,M
1710,M
1718,M
1678,M
1726,M
1672,M
1756,M
1565,M
1646,M
1743,M
1692,M
1650,M
1725,M
1820,M
1656,M
1674,M
1739,M
1666,M
1717,M
1686,M
1780,M
1661,M
1706,M
1713,M
1712,M
1704,M
1728,M
1734,M
1698,M
1655,M
1640,M
1724,M
1678,M
1674,M
1667,M
1729,M
1770,M
1759,M
1690,M
1729,M
1677,M
1779,M
1743,M
1695,M
1697,M
1666,M
1626,M
1712,M
1688,M
1681,M
1697,M
1793,M
1696,M
1740,M
1708,M
1682,M
1762,M
1691,M
1709,M
1689,M
1703,M
1755,M
1639,M
1715,M
1714,M
1672,M
1713,M
1631,M
1663,M
1711,M
1674,M
1699,M
1737,M
1614,M
1826,M
1777,M
1693,M
1727,M
1646,M
1731,M
1665,M
1766,M
1646,M
1679,M
1703,M
1762,M
1696,M
1641,M
1693,M
1667,M
1624,M
1718,M
1578,M
1682,M
1702,M
1648,M
1683,M
1753,M
1743,M
1612,M
1657,M
1679,M
1635,M
1708,M
1744,M
1666,M
1684,M
1755,M
1704,M
1744,M
1716,M
1727,M
1731,M
1706,M
1573,M
1693,M
1685,M
1689,M
1666,M
1674,M
1747,M
1678,M
1669,M
1683,M
1720,M
1719,M
1728,M
1726,M
1705,M
1699,M
1675,M
1712,M
1586,M
1637,M
1715,M
1695,M
1605,M
1728,M
1638,M
1631,M
1663,M
1656,M
1661,M
1649,M
1661,M
1766,M
1768,M
1721,M
1806,M
1716,M
1778,M
1626,M
1787,M
1658,M
1718,M
1670,M
1696,M
1665,M
1734,M
1631,M
1718,M
1722,M
1711,M
1738,M
1784,M
1775,M
1744,M
1718,M
1685,M
1735,M
1822,M
1662,M
1676,M
1718,M
1658,M
1671,M
1689,M
1778,M
1675,M
1638,M
1579,M
1651,M
1638,M
1667,M
1698,M
1711,M
1787,M
1652,M
1716,M
1681,M
1688,M
1732,M
1597,M
1651,M
1741,M
1702,M
1705,M
1676,M
1629,M
1666,M
1647,M
1730,M
1563,M
1661,M
1640,M
1803,M
1731,M
1744,M
1764,M
1717,M
1723,M
1682,M
1693,M
1737,M
1669,M
1637,M
1643,M
1657,M
1610,M
1612,M
1707,M
1692,M
1667,M
1760,M
1738,M
1866,M
1696,M
1677,M
1601,M
1758,M
1754,M
1689,M
1666,M
1681,M
1733,M
1670,M
1706,M
1685,M
1751,M
1699,M
1659,M
1678,M
1673,M
1711,M
1692,M
1701,M
1657,M
1731,M
1648,M
1643,M
1712,M
1761,M
1834,M
1729,M
1719,M
1666,M
1612,M
1607,M
1649,M
1614,M
1723,M
1695,M
1697,M
1595,M
1652,M
1719,M
1666,M
1678,M
1733,M
1575,M
1587,M
1633,M
1644,M
1612,M
1723,M
1604,M
1724,M
1698,M
1650,M
1811,M
1700,M
1644,M
1666,M
1718,M
1717,M
1727,M
1819,M
1686,M
1631,M
1654,M
1645,M
1706,M
1648,M
1722,M
1749,M
1675,M
1696,M
1639,M
1712,M
1662,M
1730,M
1619,M
1659,M
1667,M
1654,M
1737,M
1720,M
1713,M
1698,M
1710,M
1740,M
1695,M
1606,M
1744,M
1698,M
1644,M
1749,M
1603,M
1626,M
1637,M
1717,M
1715,M
1767,M
1711,M
1682,M
1758,M
1644,M
1781,M
1714,M
1838,M
1668,M
1685,M
1704,M
1724,M
1674,M
1688,M
1577,M
1694,M
1666,M
1691,M
1641,M
1568,M
1677,M
1703,M
1599,M
1696,M
1655,M
1730,M
1653,M
1854,M
1620,M
1716,M
1745,M
1685,M
1650,M
1740,M
1643,M
1739,M
1702,M
1730,M
1774,M
1758,M
1689,M
1714,M
1537,M
1728,M
1641,M
1656,M
1659,M
1559,M
1605,M
1721,M
1723,M
1659,M
1683,M
1696,M
1575,M
1760,M
1636,M
1747,M
1720,M
1725,M
1627,M
1843,M
1788,M
1726,M
1675,M
1699,M
1667,M
1730,M
1743,M
1734,M
1619,M
1808,M
1734,M
1628,M
1670,M
1680,M
1615,M
1799,M
1603,M
1753,M
1679,M
1611,M
1633,M
1653,M
1653,M
1690,M
1714,M
1732,M
1634,M
1867,M
1677,M
1618,M
1698,M
1708,M
1654,M
1706,M
1684,M
1698,M
1700,M
1657,M
1710,M
1634,M
1783,M
1754,M
1673,M
1645,M
1670,M
1673,M
1780,M
1777,M
1657,M
1784,M
1650,M
1708,M
1611,M
1721,M
1622,M
1682,M
1666,M
1858,M
1656,M
1768,M
1756,M
1685,M
1706,M
1732,M
1725,M
1900,M
1682,M
1652,M
1736,M
1643,M
1591,M
1629,M
1710,M
1706,M
1617,M
1661,M
1618,M
1613,M
1669,M
1772,M
1692,M
1527,M
1675,M
1693,M
1603,M
1682,M
1727,M
1645,M
1675,M
1587,M
1609,M
1778,M
1741,M
1731,M
1713,M
1582,M
1607,M
1777,M
1687,M
1680,M
1698,M
1622,M
1596,M
1815,M
1729,M
1669,M
1624,M
1679,M
1738,M
1741,M
1676,M
1640,M
1638,M
1629,M
1713,M
1767,M
1769,M
1705,M
1604,M
1714,M
1692,M
1723,M
1762,M
1651,M
1760,M
1688,M
1729,M
1726,M
1681,M
1677,M
1715,M
1719,M
1633,M
1751,M
1659,M
1679,M
1738,M
1634,M
1647,M
1661,M
1657,M
1736,M
1715,M
1741,M
1544,M
1752,M
1779,M
1736,M
1766,M
1701,M
1760,M
1701,M
1786,M
1681,M
1739,M
1770,M
1801,M
1801,M
1632,M
1697,M
1724,M
1731,M
1596,M
1754,M
1716,M
1762,M
1724,M
1708,M
1605,M
1600,M
1656,M
1815,M
1757,M
1749,M
1703,M
1615,M
1723,M
1756,M
1802,M
1748,M
1686,M
1725,M
1636,M
1745,M
1677,M
1698,M
1638,M
1595,M
1648,M
1664,M
1732,M
1685,M
1620,M
1651,M
1640,M
1652,M
1738,M
1655,M
1685,M
1722,M
1603,M
1699,M
1621,M
1621,M
1698,M
1766,M
1792,M
1651,M
1786,M
1736,M
1701,M
1659,M
1819,M
1660,M
1749,M
1707,M
1691,M
1577,M
1683,M
1758,M
1690,M
1605,M
1661,M
1674,M
1669,M
1666,M
1719,M
1669,M
1637,M
1718,M
1674,M
1685,M
1691,M
1624,M
1675,M
1757,M
1707,M
1649,M
1756,M
1639,M
1753,M
1650,M
1748,M
1734,M
1618,M
1676,M
1753,M
1743,M
1762,M
1680,M
1699,M
1749,M
1621,M
1721,M
1729,M
1565,M
1782,M
1761,M
1794,M
1724,M
1708,M
1639,M
1564,M
1701,M
1717,M
1636,M
1772,M
1675,M
1779,M
1628,M
1728,M
1719,M
1624,M
1835,M
1683,M
1743,M
1713,M
1609,M
1661,M
1737,M
1697,M
1751,M
1743,M
1510,M
1612,M
1691,M
1713,M
1769,M
1627,M
1693,M
1676,M
1645,M
1740,M
1744,M
1802,M
1743,M
1793,M
1757,M
1593,M
1712,M
1752,M
1759,M
1663,M
1724,M
1617,M
1764,M
1782,M
1774,M
1686,M
1733,M
1733,M
1703,M
1617,M
1698,M
1748,M
1780,M
1712,M
1711,M
1697,M
1725,M
1686,M
1603,M
1720,M
1627,M
1685,M
1702,M
1843,M
1606,M
1740,M
1777,M
1645,M
1698,M
1571,M
1778,M
1694,M
1678,M
1780,M
1773,M
1624,M
1656,M
1735,M
1691,M
1672,M
1788,M
1707,M
1733,M
1680,M
1650,M
1664,M
1633,M
1776,M
1696,M
1697,M
1775,M
1747,M
1632,M
1734,M
1584,M
1716,M
1581,M
1706,M
1612,M
1606,M
1690,M
1596,M
1708,M
1760,M
1608,M
1737,M
1578,M
1588,M
1680,M
1683,M
1647,M
1751,M
1628,M
1700,M
1777,M
1735,M
1705,M
1801,M
1707,M
1741,M
1735,M
1741,M
1553,M
1668,M
1740,M
1719,M
1665,M
1650,M
1620,M
1707,M
1749,M
1652,M
1698,M
1676,M
1703,M
1786,M
1633,M
1670,M
1751,M
1737,M
1681,M
1745,M
1626,M
1693,M
1729,M
1732,M
1753,M
1723,M
1702,M
1666,M
1683,M
1771,M
1610,M
1610,M
1742,M
1667,M
1691,M
1684,M
1647,M
1734,M
1610,M
1704,M
1661,M
1744,M
1678,M
1734,M
1721,M
1656,M
1712,M
1722,M
1671,M
1678,M
1726,M
1677,M
1755,M
1676,M
1645,M
1687,M
1754,M
1651,M
1744,M
1757,M
1686,M
1710,M
1710,M
1840,M
1689,M
1747,M
1766,M
1650,M
1669,M
1666,M
1674,M
1698,M
1733,M
1716,M
1757,M
1707,M
1731,M
1738,M
1829,M
1751,M
1747,M
1626,M
1617,M
1649,M
1725,M
1725,M
1643,M
1731,M
1720,M
1668,M
1653,M
1701,M
1795,M
1577,M
1692,M
1706,M
1719,M
1752,M
1667,M
1774,M
1637,M
1557,M
1652,M
1710,M
1754,M
1740,M
1582,M
1645,M
1630,M
1709,M
1733,M
1684,M
1778,M
1632,M
1638,M
1685,M
1675,M
1734,M
1665,M
1598,M
1748,M
1691,M
1646,M
1736,M
1645,M
1704,M
1787,M
1706,M
1699,M
1780,M
1731,M
1708,M
1634,M
1677,M
1794,M
1799,M
1756,M
1685,M
1691,M
1690,M
1811,M
1701,M
1657,M
1636,M
1754,M
1641,M
1685,M
1702,M
1708,M
1704,M
1713,M
1764,M
1634,M
1668,M
1784,M
1802,M
1738,M
1743,M
1628,M
1632,M
1658,M
1725,M
1744,M
1703,M
1820,M
1697,M
1692,M
1735,M
1767,M
1729,M
1743,M
1689,M
1691,M
1704,M
1685,M
1680,M
1751,M
1711,M
1617,M
1655,M
1840,M
1723,M
1768,M
1660,M
1689,M
1658,M
1718,M
1719,M
1708,M
1657,M
1663,M
1696,M
1658,M
1758,M
1609,M
1660,M
1705,M
1630,M
1676,M
1679,M
1678,M
1713,M
1661,M
1679,M
1801,M
1706,M
1753,M
1648,M
1741,M
1803,M
1663,M
1691,M
1731,M
1680,M
1680,M
1668,M
1693,M
1633,M
1724,M
1655,M
1620,M
1717,M
1672,M
1742,M
1592,M
1796,M
1682,M
1731,M
1661,M
1759,M
1632,M
1664,M
1648,M
1634,M
1644,M
1695,M
1649,M
1639,M
1701,M
1665,M
1666,M
1654,M
1645,M
1648,M
1734,M
1695,M
1683,M
1738,M
1661,M
1657,M
1708,M
1745,M
1735,M
1680,M
1569,M
1670,M
1681,M
1657,M
1703,M
1738,M
1689,M
1718,M
1695,M
1727,M
1774,M
1641,M
1600,M
1739,M
1702,M
1713,M
1682,M
1695,M
1697,M
1660,M
1720,M
1624,M
1641,M
1628,M
1733,M
1685,M
1650,M
1672,M
1682,M
1634,M
1627,M
1700,M
1760,M
1755,M
1678,M
1620,M
1771,M
1627,M
1692,M
1642,M
1736,M
1556,M
1597,M
1615,M
1703,M
1735,M
1710,M
1680,M
1701,M
1714,M
1775,M
1817,M
1647,M
1677,M
1688,M
1651,M
1686,M
1815,M
1693,M
1682,M
1696,M
1540,M
1775,M
1743,M
1795,M
1716,M
1651,M
1640,M
1729,M
1633,M
1704,M
1697,M
1749,M
1674,M
1621,M
1658,M
1696,M
1834,M
1570,M
1666,M
1696,M
1698,M
1658,M
1722,M
1655,M
1684,M
1703,M
1703,M
1638,M
1719,M
1722,M
1692,M
1781,M
1672,M
1676,M
1626,M
1747,M
1659,M
1728,M
1746,M
1732,M
1702,M
1632,M
1723,M
1687,M
1695,M
1749,M
1691,M
1767,M
1760,M
1655,M
1664,M
1563,M
1710,M
1737,M
1690,M
1667,M
1655,M
1751,M
1725,M
1752,M
1736,M
1677,M
1602,M
1784,M
1638,M
1664,M
1605,M
1718,M
1771,M
1685,M
1784,M
1667,M
1707,M
1775,M
1731,M
1651,M
1709,M
1838,M
1742,M
1710,M
1696,M
1577,M
1710,M
1720,M
1651,M
1772,M
1765,M
1719,M
1704,M
1731,M
1739,M
1767,M
1613,M
1677,M
1793,M
1673,M
1681,M
1632,M
1751,M
1868,M
1714,M
1711,M
1768,M
1671,M
1681,M
1673,M
1758,M
1694,M
1607,M
1753,M
1642,M
1729,M
1667,M
1708,M
1697,M
1760,M
1729,M
1716,M
1726,M
1640,M
1661,M
1726,M
1817,M
1752,M
1744,M
1690,M
1690,M
1740,M
1587,M
1690,M
1676,M
1680,M
1649,M
1798,M
1725,M
1680,M
1641,M
1661,M
1692,M
1756,M
1726,M
1726,M
1719,M
1633,M
1673,M
1619,M
1671,M
1732,M
1634,M
1776,M
1685,M
1713,M
1757,M
1686,M
1711,M
1673,M
1761,M
1633,M
1702,M
1740,M
1734,M
1709,M
1752,M
1814,M
1643,M
1648,M
1809,M
1665,M
1722,M
1650,M
1675,M
1735,M
1730,M
1681,M
1733,M
1704,M
1692,M
1697,M
1675,M
1687,M
1812,M
1849,M
1615,M
1700,M
1701,M
1633,M
1669,M
1704,M
1684,M
1836,M
1658,M
1722,M
1701,M
1708,M
1768,M
1641,M
1692,M
1638,M
1733,M
1733,M
1665,M
1747,M
1673,M
1772,M
1713,M
1657,M
1776,M
1646,M
1615,M
1597,M
1721,M
1733,M
1683,M
1769,M
1700,M
1607,M
1729,M
1686,M
1741,M
1707,M
1734,M
1651,M
1775,M
1740,M
1770,M
1655,M
1785,M
1611,M
1719,M
1668,M
1727,M
1734,M
1759,M
1680,M
1711,M
1672,M
1721,M
1579,M
1694,M
1785,M
1669,M
1629,M
1758,M
1664,M
1630,M
1693,M
1666,M
1747,M
1617,M
1635,M
1744,M
1681,M
1638,M
1717,M
1631,M
1637,M
1718,M
1539,M
1692,M
1625,M
1590,M
1735,M
1752,M
1717,M
1646,M
1752,M
1661,M
1726,M
1794,M
1711,M
1683,M
1751,M
1697,M
1635,M
1731,M
1654,M
1764,M
1668,M
1779,M
1678,M
1710,M
1616,M
1654,M
1748,M
1696,M
1685,M
1711,M
1673,M
1694,M
1709,M
1682,M
1730,M
1823,M
1664,M
1773,M
1614,M
1608,M
1665,M
1699,M
1699,M
1639,M
1639,M
1758,M
1727,M
1661,M
1648,M
1737,M
1675,M
1623,M
1759,M
1653,M
1733,M
1709,M
1700,M
1700,M
1671,M
1744,M
1647,M
1641,M
1739,M
1592,M
1679,M
1716,M
1703,M
1756,M
1722,M
1810,M
1634,M
1714,M
1757,M
1603,M
1681,M
1667,M
1666,M
1738,M
1742,M
1592,M
1769,M
1766,M
1711,M
1747,M
1678,M
